logId,dateOfSleep,startTime,endTime,duration
40265178254,2023-02-19,2023-02-19T00:10:30.000,2023-02-19T08:23:30.000,29580000
40254944542,2023-02-18,2023-02-18T00:34:30.000,2023-02-18T11:12:30.000,38280000
41023915068,2023-04-19,2023-04-19T17:49:30.000,2023-04-19T18:50:30.000,3660000
41018375073,2023-04-19,2023-04-18T23:38:30.000,2023-04-19T08:41:30.000,32580000
41006190841,2023-04-18,2023-04-17T23:56:00.000,2023-04-18T10:06:30.000,36600000
40993663206,2023-04-17,2023-04-16T23:55:00.000,2023-04-17T09:55:00.000,36000000
40979484906,2023-04-16,2023-04-15T23:22:00.000,2023-04-16T10:00:30.000,38280000
40965461269,2023-04-15,2023-04-14T23:41:30.000,2023-04-15T07:26:30.000,27900000
40957130829,2023-04-14,2023-04-14T00:30:30.000,2023-04-14T09:36:30.000,32760000
40936156095,2023-04-12,2023-04-12T13:46:00.000,2023-04-12T15:12:00.000,5160000
40933999967,2023-04-12,2023-04-12T00:52:00.000,2023-04-12T09:05:30.000,29580000
40921767950,2023-04-11,2023-04-11T00:21:30.000,2023-04-11T10:33:30.000,36720000
40909450226,2023-04-10,2023-04-10T00:05:00.000,2023-04-10T09:41:30.000,34560000
40896114497,2023-04-09,2023-04-09T00:43:30.000,2023-04-09T09:41:30.000,32280000
40885155097,2023-04-08,2023-04-07T23:31:30.000,2023-04-08T11:04:30.000,41580000
40873987098,2023-04-07,2023-04-07T00:16:00.000,2023-04-07T10:28:30.000,36720000
40861731405,2023-04-06,2023-04-06T00:55:00.000,2023-04-06T09:26:30.000,30660000
40851915006,2023-04-05,2023-04-05T11:33:30.000,2023-04-05T14:46:30.000,11580000
40849030365,2023-04-05,2023-04-05T01:08:00.000,2023-04-05T08:56:30.000,28080000
40841000192,2023-04-04,2023-04-04T15:56:30.000,2023-04-04T17:44:30.000,6480000
40835173519,2023-04-04,2023-04-03T22:43:30.000,2023-04-04T08:55:00.000,36660000
40822468187,2023-04-03,2023-04-03T00:34:30.000,2023-04-03T10:03:30.000,34140000
40810995243,2023-04-02,2023-04-02T00:17:30.000,2023-04-02T09:47:30.000,34200000
40798407792,2023-04-01,2023-04-01T00:52:00.000,2023-04-01T09:29:30.000,31020000
40788464516,2023-03-31,2023-03-31T00:33:00.000,2023-03-31T09:52:30.000,33540000
40774109098,2023-03-30,2023-03-30T00:07:30.000,2023-03-30T10:06:30.000,35940000
40760127216,2023-03-29,2023-03-28T23:35:30.000,2023-03-29T09:34:00.000,35880000
40746988845,2023-03-28,2023-03-28T01:11:00.000,2023-03-28T10:21:30.000,33000000
40735669605,2023-03-27,2023-03-27T00:08:00.000,2023-03-27T10:01:00.000,35580000
40719678049,2023-03-26,2023-03-26T01:08:30.000,2023-03-26T09:46:30.000,31080000
40711041216,2023-03-25,2023-03-25T16:09:30.000,2023-03-25T18:17:30.000,7680000
40707161024,2023-03-25,2023-03-25T00:04:00.000,2023-03-25T08:35:30.000,30660000
40696376396,2023-03-24,2023-03-23T23:51:00.000,2023-03-24T09:38:30.000,35220000
40682872704,2023-03-23,2023-03-22T23:29:30.000,2023-03-23T08:33:00.000,32580000
40658211344,2023-03-21,2023-03-21T00:18:00.000,2023-03-21T11:33:30.000,40500000
40643433934,2023-03-20,2023-03-20T00:02:30.000,2023-03-20T10:08:30.000,36360000
41402392061,2023-05-19,2023-05-19T15:54:00.000,2023-05-19T17:44:30.000,6600000
41398005330,2023-05-19,2023-05-18T23:20:30.000,2023-05-19T08:18:30.000,32280000
41385721149,2023-05-18,2023-05-17T23:02:00.000,2023-05-18T09:20:30.000,37080000
41374330541,2023-05-17,2023-05-16T23:26:00.000,2023-05-17T10:21:00.000,39300000
41360584461,2023-05-16,2023-05-15T23:49:00.000,2023-05-16T10:08:30.000,37140000
41344775104,2023-05-15,2023-05-14T23:23:00.000,2023-05-15T08:12:30.000,31740000
41334249764,2023-05-14,2023-05-14T13:32:00.000,2023-05-14T16:40:30.000,11280000
41330818017,2023-05-14,2023-05-14T00:58:00.000,2023-05-14T09:30:30.000,30720000
